"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CHCHD3",1.83291636465506e-10,-0.405585851771495,0.066,0.273,1.88772056395824e-06
"GPR137",1.84578610795865e-10,-1.43276601343454,0.014,0.154,1.90097511258662e-06
"HBS1L",1.85194639847925e-10,-0.999268187618663,0.017,0.162,1.90731959579378e-06
"APPL1",1.89515835691224e-10,-0.365306772072649,0.061,0.262,1.95182359178392e-06
"ANKRD40",1.90419724122021e-10,-0.660860748736988,0.04,0.215,1.9611327387327e-06
"AP4S1",1.90545364560797e-10,-1.25898448021518,0.012,0.146,1.96242670961164e-06
"BCOR",1.92177951772814e-10,-1.04992392983037,0.014,0.154,1.97924072530822e-06
"AGT",2.04348186243558e-10,-7.89496854162597,0,0.112,2.1045819701224e-06
"ARNT2",2.04348186243558e-10,-7.2506034784214,0,0.112,2.1045819701224e-06
"CLDN9",2.04348186243558e-10,-7.51607900336259,0,0.112,2.1045819701224e-06
"CTA-293F17.1",2.04348186243558e-10,-7.17651520245315,0,0.112,2.1045819701224e-06
"FKBP10",2.04348186243558e-10,-7.99054452590038,0,0.112,2.1045819701224e-06
"GALNT18",2.04348186243558e-10,-8.16142139734318,0,0.112,2.1045819701224e-06
"GLB1L2",2.04348186243558e-10,-6.78122830902348,0,0.112,2.1045819701224e-06
"GNAI1",2.04348186243558e-10,-7.78180424896431,0,0.112,2.1045819701224e-06
"GPX8",2.04348186243558e-10,-6.81410493934714,0,0.112,2.1045819701224e-06
"HMGA2",2.04348186243558e-10,-7.04652166866739,0,0.112,2.1045819701224e-06
"HNF1B",2.04348186243558e-10,-7.26755398487453,0,0.112,2.1045819701224e-06
"HOXB6",2.04348186243558e-10,-7.81620076388182,0,0.112,2.1045819701224e-06
"ACP1",2.09885078972153e-10,-0.470805850464807,0.223,0.562,2.1616064283342e-06
"CBWD1",2.11360700758731e-10,-1.14383538456827,0.029,0.188,2.17680385711417e-06
"ARPP19",2.17292874607559e-10,-0.429573334315214,0.159,0.45,2.23789931558325e-06
"ADRM1",2.21269352166881e-10,-0.527719810019907,0.225,0.569,2.2788530579667e-06
"DHX30",2.22567644492798e-10,-0.601024455115574,0.046,0.227,2.29222417063133e-06
"FAM91A1",2.22934172790581e-10,-0.77775420119937,0.029,0.188,2.29599904557019e-06
"CFAP20",2.23863010710144e-10,-0.257342534510838,0.069,0.277,2.30556514730378e-06
"GNG11",2.32395632760508e-10,-4.92454686392274,0.012,0.142,2.39344262180048e-06
"FAM222B",2.43612494352485e-10,-0.687361030834342,0.029,0.188,2.50896507933625e-06
"COMMD9",2.50444225288289e-10,-0.418752226518844,0.061,0.258,2.57932507624409e-06
"COMMD3",2.50894329647258e-10,-0.667886728169046,0.087,0.308,2.58396070103711e-06
"EDIL3",2.5729430986363e-10,-5.16587965883867,0.003,0.119,2.64987409728552e-06
"ATF4",2.57628665450777e-10,-0.68580311876926,0.318,0.669,2.65331762547755e-06
"CDK18",2.61354746602558e-10,-4.54696429298572,0.003,0.119,2.69169253525975e-06
"HLA-G",2.65477742607939e-10,-4.85652722374184,0.003,0.119,2.73415527111916e-06
"DGAT1",2.67334274330998e-10,-1.31388933738608,0.023,0.173,2.75327569133495e-06
"AZIN1-AS1",2.71781593816821e-10,-3.6025403735096,0.003,0.119,2.79907863471944e-06
"EFEMP2",2.71781593816821e-10,-3.63596386760128,0.003,0.119,2.79907863471944e-06
"APOL1",2.74031728440725e-10,-1.4665728076531,0.023,0.173,2.82225277121103e-06
"ARFGEF1",2.77868580927662e-10,-0.445907335187889,0.038,0.208,2.86176851497399e-06
"CHERP",2.78165918888373e-10,-0.769001543195888,0.046,0.227,2.86483079863135e-06
"ARMC8",2.83347019075693e-10,-0.86177586803673,0.035,0.2,2.91819094946057e-06
"BOP1",2.86552207881471e-10,-0.674513293639766,0.026,0.181,2.95120118897127e-06
"DPP3",2.90025753675203e-10,-0.512565115476165,0.026,0.181,2.98697523710091e-06
"DDX23",2.987265253534e-10,-0.827709259216425,0.064,0.262,3.07658448461466e-06
"CHD9",3.00379602902862e-10,-0.416521070045827,0.133,0.396,3.09360953029657e-06
"CDK5RAP1",3.1390180029779e-10,-0.887425348194932,0.023,0.173,3.23287464126694e-06
"CXCR3",3.20911763336546e-10,5.44661734163293,0.165,0.012,3.30507025060309e-06
"BDH1",3.21735945174884e-10,-0.32196928112099,0.023,0.173,3.31355849935613e-06
"CCDC50",3.34588938814523e-10,-1.04170797203039,0.032,0.192,3.44593148085077e-06
"ARRDC3",3.352265937754e-10,-0.741784397568445,0.095,0.323,3.45249868929285e-06
"CH17-340M24.3",3.36359736986552e-10,-1.05448347676003,0.04,0.212,3.4641689312245e-06
"DDI2",3.38203878061468e-10,-0.885639632548191,0.04,0.212,3.48316174015506e-06
"CDR2L",3.40027320766596e-10,-1.90353606273493,0.006,0.127,3.50194137657517e-06
"ARHGAP44",3.4147540278709e-10,-2.7989029317241,0.009,0.135,3.51685517330424e-06
"CARHSP1",3.52408180466676e-10,-0.51974084870662,0.179,0.469,3.62945185062629e-06
"BRD8",3.61633180557151e-10,-2.22236913000253,0.009,0.135,3.7244601265581e-06
"DENND6B",3.66851413733373e-10,-1.97795083448815,0.009,0.135,3.77820271004001e-06
"CDK5",3.67257265400974e-10,-1.05171874125111,0.017,0.158,3.78238257636463e-06
"C22orf29",3.69488024756526e-10,-2.28535942891072,0.009,0.135,3.80535716696746e-06
"EPT1",3.69488024756526e-10,-1.73673691397591,0.009,0.135,3.80535716696746e-06
