names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
MYL12B,1.619856,0.15557803,0.10526321296083746,1.0,0.5552147239263804,0.5768857235351247
CD2,1.6117644,1.3512952,0.10701321762546784,1.0,0.09202453987730061,0.03787633538361929
HCST,1.6007197,0.44609118,0.10943902487388417,1.0,0.2361963190184049,0.18355454839753965
MYH9,1.5992726,0.517899,0.10976004028928259,1.0,0.20245398773006135,0.14794431854969245
NBEAL1,1.5907971,0.23420574,0.11165524333634487,1.0,0.4723926380368098,0.4399482033020395
RPL18,1.5757656,0.033343375,0.11507982563380025,1.0,0.9969325153374233,0.9980576238264811
RPL11,1.5754703,0.06266575,0.11514792457275243,1.0,1.0,0.9990288119132406
EIF1,1.5622994,-0.007040818,0.11821749303805261,1.0,0.9601226993865031,0.985432178698608
RPS13,1.5492464,0.051210456,0.12132248956682998,1.0,1.0,0.9980576238264811
CD7,1.5172639,1.4623995,0.12920005840193385,1.0,0.08895705521472393,0.038523794108125606
SRGN,1.5117121,0.32054338,0.13060713461613252,1.0,0.3987730061349693,0.37131757850437036
COX6C,1.4952925,0.15220714,0.13483809965828789,1.0,0.5674846625766872,0.5619941728714795
RPL31,1.4766582,0.07247351,0.1397672622262216,1.0,1.0,0.9974101651019748
RPLP0,1.4609771,-0.0033993232,0.14402172473014155,1.0,0.9662576687116564,0.9870508255098738
RPS27,1.4600617,0.050092265,0.14427313631256264,1.0,1.0,1.0
RPL13,1.4536533,0.05178851,0.14604244638057792,1.0,1.0,0.9996762706377469
CTSC,1.4402165,0.5937828,0.14980614654735394,1.0,0.13803680981595093,0.08675946908384591
TSPO,1.4374996,0.35682464,0.15057607311099386,1.0,0.3098159509202454,0.27193266429265134
RPL41,1.4274294,0.047560815,0.1534561495728158,1.0,1.0,1.0
CD3G,1.4017371,1.6265718,0.16099375887687906,1.0,0.06748466257668712,0.020071220459695695
RPL36,1.4008807,0.041197915,0.16124974546279558,1.0,0.9938650306748467,0.9935254127549369
COX4I1,1.3982819,-0.028495543,0.16202841415715774,1.0,0.8680981595092024,0.9180964713499514
CKLF,1.3919623,0.5174118,0.16393383331211497,1.0,0.2116564417177914,0.1706053739074134
STMN1,1.3854948,0.76106066,0.1659012023001103,1.0,0.12576687116564417,0.07898996438977016
GRK6,1.3788798,0.46845233,0.16793180782642791,1.0,0.18711656441717792,0.14276464875364195
RGS10,1.3716742,0.48613638,0.17016489273322177,1.0,0.2116564417177914,0.16833926837164132
BRK1,1.3709359,0.17757802,0.17039494341494743,1.0,0.5,0.4910974425380382
RPS25,1.3505297,0.020164123,0.1768461358877863,1.0,0.9938650306748467,0.9993525412754937
UQCRB,1.3461591,0.056213174,0.17825122947624594,1.0,0.7975460122699386,0.8229200388475235
ERGIC3,1.3388352,0.30877206,0.18062430900674487,1.0,0.29141104294478526,0.24959533829718356
SSR2,1.3382741,0.15238856,0.18080708058472394,1.0,0.5858895705521472,0.5730009711880868
S100A11,1.3299758,0.3915822,0.18352623077285402,1.0,0.2668711656441718,0.22952411783748786
EIF3L,1.3225044,0.124057874,0.18600024513751667,1.0,0.6134969325153374,0.6112010359339592
HAGH,1.3202009,0.56300724,0.18676793442663953,1.0,0.1411042944785276,0.09485270314017481
ASF1A,1.3041359,0.71900654,0.1921872595592048,1.0,0.10736196319018405,0.06183230819035287
TRBC1,1.2957785,1.2324151,0.19505181115013714,1.0,0.09202453987730061,0.04920686306247977
CD247,1.280245,1.4136559,0.20045899267750844,1.0,0.0705521472392638,0.02751699579151829
KLHL36,1.2788866,0.7448489,0.2009370160947962,1.0,0.1196319018404908,0.0764001294917449
DBI,1.2783844,0.23144764,0.20111388724381563,1.0,0.40797546012269936,0.37714470702492714
RHOC,1.2764649,1.0320219,0.20179120663398398,1.0,0.09202453987730061,0.04953059242473292
COMMD6,1.2756971,0.03631372,0.2020625995556623,1.0,0.7822085889570553,0.8083522175461314
SERF2,1.2705292,0.023122305,0.20389620713628176,1.0,0.8711656441717791,0.9057947555843315
IGHG4,1.2684324,0.30756715,0.20464357072238837,1.0,0.34355828220858897,0.3162835869213338
RPL29,1.2648001,0.0323393,0.20594301097509293,1.0,0.9969325153374233,0.9970864357397216
LAT,1.2589824,1.4370574,0.20803669896903976,1.0,0.0705521472392638,0.028164454516024603
OLA1,1.2368338,0.5331091,0.21614878084425904,1.0,0.17484662576687116,0.1372612495953383
ZNF226,1.2347962,0.85544556,0.21690637647983513,1.0,0.0950920245398773,0.0534153447717708
DUSP4,1.2260549,1.183502,0.2201780278805091,1.0,0.08895705521472393,0.04920686306247977
GBP2,1.2246078,0.8399816,0.22072301623089574,1.0,0.10429447852760736,0.06345095500161865
TNFAIP3,1.2187016,0.76959324,0.22295748887428612,1.0,0.10736196319018405,0.06571706053739074
ZNHIT1,1.2125885,0.34062678,0.22528716754076117,1.0,0.21779141104294478,0.17772741987698285
GZMK,1.2036996,1.550919,0.22870570554987457,1.0,0.06134969325153374,0.020718679184202008
CREM,1.1917394,0.32489735,0.23336344818201926,1.0,0.25766871165644173,0.22143088378115894
NUDT2,1.181492,0.65023386,0.23740733139112968,1.0,0.11349693251533742,0.07348656523146649
IDH2,1.1773281,0.36592677,0.23906458771287953,1.0,0.18711656441717792,0.14503075428941406
RPS6,1.1677599,0.03504938,0.24290362836559465,1.0,1.0,1.0
PDLIM2,1.1642752,0.31580898,0.24431250631139367,1.0,0.2085889570552147,0.1654257041113629
BCL11B,1.1634779,2.5387776,0.2446356816869859,1.0,0.046012269938650305,0.006798316607316284
UQCR11,1.1599636,0.16577959,0.24606362248437808,1.0,0.5061349693251533,0.48170929103269666
MZT2B,1.157483,0.19020207,0.24707509207151546,1.0,0.36809815950920244,0.3282615733247006
RPL10,1.153703,0.043834455,0.24862197233766858,1.0,1.0,0.9993525412754937
S100A6,1.1522559,0.15050642,0.24921592645514212,1.0,0.5184049079754601,0.5153771447070249
CCL5,1.1497163,0.8185629,0.25026077315667594,1.0,0.13190184049079753,0.09647134995144059
TIMM10,1.1485645,0.49714535,0.25073560580490273,1.0,0.15950920245398773,0.12107478148268049
SCRN1,1.1449322,1.4090091,0.2522372729789002,1.0,0.06134969325153374,0.022661055357720946
SH2D1A,1.1371063,2.5747294,0.25549384599879443,1.0,0.046012269938650305,0.007769504694075753
RPS20,1.1193284,0.038303778,0.26300005907127,1.0,1.0,0.9987050825509873
IL7R,1.1187083,1.125112,0.26326462327622446,1.0,0.0705521472392638,0.03269666558756879
SUMO3,1.1173793,0.34397793,0.26383216489168293,1.0,0.22699386503067484,0.18970540628034963
PHPT1,1.1140127,0.47329602,0.2652737120918899,1.0,0.18711656441717792,0.15344771770799612
RPL8,1.1140127,0.005487289,0.2652737120918899,1.0,0.9938650306748467,0.9983813531887342
RORA,1.1136584,0.9575882,0.2654257689237005,1.0,0.0705521472392638,0.03237293622531564
TMEM39B,1.1110891,1.1747997,0.2665299762648252,1.0,0.06748466257668712,0.029783101327290385
ATF7,1.1090219,1.2123938,0.2674207105405464,1.0,0.0705521472392638,0.033344124312075105
MYL12A,1.108579,0.025687877,0.2676118481231796,1.0,0.7024539877300614,0.7445775331822596
TRABD,1.0966778,0.30743793,0.27278224984184274,1.0,0.2331288343558282,0.19553253480090643
CHTF8,1.086962,0.6682839,0.2770536017986234,1.0,0.11042944785276074,0.07478148268047911
CCBL2,1.0697452,1.0927215,0.2847340139141379,1.0,0.07668711656441718,0.041113629006150856
NGLY1,1.0663491,0.34920543,0.2862658653580975,1.0,0.17484662576687116,0.1388798964066041
CD5,1.0613583,1.7978,0.2885271063449798,1.0,0.046012269938650305,0.010035610229847848
SSR4,1.058346,0.10532541,0.2898976901561636,1.0,0.5644171779141104,0.5577856911621885
ARPP19,1.0522035,0.35100538,0.2927061691185058,1.0,0.17177914110429449,0.13337649724830042
KLRB1,1.048837,1.2785246,0.2942531563841022,1.0,0.06134969325153374,0.02589834898025251
TRAC,1.0460019,0.41142598,0.2955601266813178,1.0,0.24539877300613497,0.22790547102622208
GNB2L1,1.0439348,0.01368812,0.2965155727831219,1.0,0.9846625766871165,0.9922304953059242
FAM162A,1.0438167,0.2400819,0.296570232043893,1.0,0.2116564417177914,0.16769180964713498
BEX2,1.0412474,0.40861514,0.29776073859432295,1.0,0.12269938650306748,0.08449336354807381
CYB5B,1.0373198,0.43847275,0.2995868727820187,1.0,0.147239263803681,0.1120103593395921
CRIP1,1.0342485,0.371145,0.3010200213697517,1.0,0.19938650306748465,0.16833926837164132
ZNF90,1.0337759,0.34317106,0.3012409104390512,1.0,0.2085889570552147,0.17707996115247654
RPL3,1.0334806,-0.0051971716,0.3013790209113727,1.0,0.9938650306748467,0.9993525412754937
CMTM3,1.0295825,1.2134417,0.3032060304899151,1.0,0.06134969325153374,0.026545807704758822
TPM4,1.02344,0.3302353,0.30609986590451965,1.0,0.19938650306748465,0.1660731628358692
ASNA1,1.0140195,0.43091592,0.31057346556516585,1.0,0.13190184049079753,0.09614762058918744
NDUFB10,1.0139604,0.24314542,0.31060164864876305,1.0,0.3098159509202454,0.2761411460019424
NDUFB2,1.012218,0.17588583,0.3114338089523859,1.0,0.3834355828220859,0.3567497572029783
EPB41,1.0114207,0.67005175,0.3118151179940438,1.0,0.09815950920245399,0.0637746843638718
SEPW1,1.003713,0.3766034,0.31551696623475833,1.0,0.19938650306748465,0.16769180964713498
TCF7,1.002768,0.3848446,0.31597281116385667,1.0,0.15644171779141106,0.12042732275817417
RPS6KB2,1.0001397,0.49104184,0.3172429023720379,1.0,0.12576687116564417,0.09161540951764326
OSTN-AS1,0.99922425,1.4479635,0.31768607869811893,1.0,0.05521472392638037,0.021689867270961477
WBP2,0.9961825,0.28840426,0.31916148031863234,1.0,0.2085889570552147,0.1728714794431855
SMAP1,0.99163467,0.4297665,0.3213757723150761,1.0,0.1165644171779141,0.08125606992554224
ITGB7,0.98915404,0.50052506,0.32258778647199216,1.0,0.12576687116564417,0.09226286824214956
