group,names,scores,logfoldchanges,pvals,pvals_adj
5,OASL,1.0790622,2.3479884,0.28055999315696056,0.5583283445909664
5,HMGB2,1.0471107,3.1164346,0.2950485534550248,0.5842545612970788
5,CARNS1,0.9784159,,0.32786866275155124,0.6299168784652891
5,TNFRSF9,0.86721385,,0.3858248484790817,0.7090765102997808
5,CCDC146,0.85919374,,0.3902336490103667,0.7147136428761295
5,PROK2,0.74007875,,0.459252224252654,0.7911321692552179
5,COL6A2,0.71606183,3.252291,0.47395317017728944,0.8115636475638518
5,ST3GAL4,0.6943273,2.4702845,0.4874769736910274,0.8269329494334645
5,GZMK,0.6750367,,0.4996524358955037,0.8418743654515647
5,SLC38A5,0.6467814,,0.5177734557828786,0.860088796981526
5,C1orf61,0.5089289,,0.6108020568968048,0.9499254384087166
5,XBP1,0.4805182,6.377591,0.6308589778533156,0.9646161740876384
5,CXCL13,0.44118658,,0.6590779214368643,0.9888640981798414
5,VCAM1,0.39871654,,0.6901020736937424,0.9972292218959774
5,CERCAM,0.24534586,1.307334,0.8061886431009899,0.9972292218959774
5,ERMN,0.1867066,0.44436696,0.8518906823346657,0.9972292218959774
5,FAM131B,0.1737069,,0.8620958168867767,0.9972292218959774
5,SOST,0.15037207,,0.8804710771593368,0.9972292218959774
5,LDB2,0.14826061,0.64117074,0.8821371027457561,0.9972292218959774
5,LPCAT1,0.13834342,8.287904,0.8899690102193336,0.9972292218959774
5,RP11-338I21.1,0.10679735,-0.5309585,0.9149497458286895,0.9972292218959774
5,IL17C,0.07517516,,0.9400753492935123,0.9972292218959774
5,HBM,0.07293163,-3.8571174,0.9418605208337111,0.9972292218959774
5,RP11-587P21.2,0.070677236,-2.9748805,0.9436546404861005,0.9972292218959774
5,CSF2,0.06745333,-1.1984922,0.9462208126248758,0.9972292218959774
5,SCGB3A1,0.06387675,1.7722348,0.9490683697093398,0.9972292218959774
5,MUC6,0.057150833,-2.1703806,0.9544250442635952,0.9972292218959774
5,ANKRD36C,0.048061762,2.3307335,0.9616670206435167,0.9972292218959774
5,ROPN1L,0.042195037,1.0777373,0.9663432175990985,0.9972292218959774
5,TNIP3,0.039368883,1.10544,0.9685962895928483,0.9972292218959774
5,SLC6A4,0.017799042,0.2703159,0.9857991695860213,0.9972292218959774
5,NGFR,0.0066109393,0.18734753,0.9947252720194717,0.9972292218959774
5,IGKV2-30,0.006031414,-0.119593956,0.9951876571036388,0.9972292218959774
5,CDH4,0.0015226136,-0.024923708,0.9987851306517688,0.9992847730382879
5,SLC6A13,-0.0007317867,0.014723659,0.9994161187417945,0.9994161187417945
5,KRT1,-0.0029861869,0.0426558,0.997617371102825,0.998615987089915
5,RP11-128P17.4,-0.0045088003,0.1290207,0.9964025099331385,0.9978993589715959
5,IL24,-0.0059723738,0.12242381,0.9952347634521854,0.9972292218959774
5,KRTAP4-11,-0.0067632007,0.1630069,0.9946037877540549,0.9972292218959774
5,VSTM2A,-0.0067632007,0.17294994,0.9946037877540549,0.9972292218959774
5,RP11-301G19.1,-0.0067632007,0.18970014,0.9946037877540549,0.9972292218959774
5,RP11-297P16.4,-0.0067632007,0.17730395,0.9946037877540549,0.9972292218959774
5,IGKV6D-21,-0.009017601,0.253627,0.9928050929997976,0.9972292218959774
5,OLFM4,-0.009017601,0.24446854,0.9928050929997976,0.9972292218959774
5,RP11-78L16.1,-0.009017601,0.20722505,0.9928050929997976,0.9972292218959774
5,PGA5,-0.009749387,0.171062,0.9922212374073042,0.9972292218959774
5,IGKV6-21,-0.011272001,0.2699035,0.9910064348113249,0.9972292218959774
5,AC004947.2,-0.011272001,0.23633093,0.9910064348113249,0.9972292218959774
5,ARHGAP36,-0.011272001,0.23249061,0.9910064348113249,0.9972292218959774
5,STAB2,-0.011272001,0.23633093,0.9910064348113249,0.9972292218959774
5,NGB,-0.011272001,0.23633093,0.9910064348113249,0.9972292218959774
5,HAND2,-0.011272001,0.2282633,0.9910064348113249,0.9972292218959774
5,CALB1,-0.011272001,0.31984738,0.9910064348113249,0.9972292218959774
5,USH1C,-0.012016217,0.27447692,0.9904126764638843,0.9972292218959774
5,SLN,-0.0135264015,0.26893467,0.9892078223290376,0.9972292218959774
5,SERPINB13,-0.0135264015,0.26203418,0.9892078223290376,0.9972292218959774
5,IGKV3D-15,-0.0135264015,0.31102458,0.9892078223290376,0.9972292218959774
5,BHMT,-0.0135264015,0.26203418,0.9892078223290376,0.9972292218959774
5,OVOL3,-0.0135264015,0.26203418,0.9892078223290376,0.9972292218959774
5,CYP17A1,-0.014258188,0.26320946,0.9886239973723605,0.9972292218959774
5,IGLV2-18,-0.015780801,0.4453011,0.9874092646926397,0.9972292218959774
5,IL22,-0.015780801,0.35288507,0.9874092646926397,0.9972292218959774
5,XIRP1,-0.015780801,0.30807796,0.9874092646926397,0.9972292218959774
5,RALYL,-0.015780801,0.29779476,0.9874092646926397,0.9972292218959774
5,PRR9,-0.015780801,0.35319903,0.9874092646926397,0.9972292218959774
5,DLK1,-0.015780801,0.30042607,0.9874092646926397,0.9972292218959774
5,HSPB3,-0.015780801,0.3278386,0.9874092646926397,0.9972292218959774
5,RP11-384K6.8,-0.017244374,0.27630177,0.9862416613696643,0.9972292218959774
5,IL20,-0.018035201,0.36031353,0.9856107710409989,0.9972292218959774
5,ACTC1,-0.018035201,0.29654187,0.9856107710409989,0.9972292218959774
5,ZBED2,-0.019250184,-0.5647981,0.9846415230183657,0.9972292218959774
5,CTCFL,-0.020289602,0.34815958,0.9838123505120077,0.9972292218959774
5,ADARB2-AS1,-0.020289602,0.3317393,0.9838123505120077,0.9972292218959774
5,CHP2,-0.020289602,0.35888767,0.9838123505120077,0.9972292218959774
5,HPSE2,-0.020289602,0.38114777,0.9838123505120077,0.9972292218959774
5,TRDN,-0.020289602,0.3703548,0.9838123505120077,0.9972292218959774
5,HEPACAM2,-0.020289602,0.3317393,0.9838123505120077,0.9972292218959774
5,AP001189.4,-0.020289602,0.31303835,0.9838123505120077,0.9972292218959774
5,IGHV1-69,-0.022544002,0.3661792,0.9820140122424434,0.9972292218959774
5,LINC01351,-0.022544002,0.38176605,0.9820140122424434,0.9972292218959774
5,BPIFB4,-0.022544002,0.37386322,0.9820140122424434,0.9972292218959774
5,RP11-714L20.1,-0.022544002,0.38271642,0.9820140122424434,0.9972292218959774
5,SLC38A4,-0.022544002,0.37386322,0.9820140122424434,0.9972292218959774
5,IGHV4-31,-0.022544002,0.40672585,0.9820140122424434,0.9972292218959774
5,KRT75,-0.022544002,0.55829746,0.9820140122424434,0.9972292218959774
5,SLC30A10,-0.022544002,0.34638733,0.9820140122424434,0.9972292218959774
5,REG1A,-0.024798403,0.4854033,0.9802157653678296,0.9972292218959774
5,HBE1,-0.024798403,0.52573633,0.9802157653678296,0.9972292218959774
5,TFF2,-0.024798403,0.42495918,0.9802157653678296,0.9972292218959774
5,RP11-197K6.1,-0.024798403,0.40375245,0.9802157653678296,0.9972292218959774
5,RP11-768G7.3,-0.024798403,0.38615692,0.9802157653678296,0.9972292218959774
5,CALCA,-0.027052803,0.57006335,0.9784176190222966,0.9972292218959774
5,NODAL,-0.027052803,0.41038084,0.9784176190222966,0.9972292218959774
5,IL17A,-0.027052803,0.48785937,0.9784176190222966,0.9972292218959774
5,TPTE2,-0.027052803,0.48007593,0.9784176190222966,0.9972292218959774
5,RP11-279F6.2,-0.027052803,0.4467327,0.9784176190222966,0.9972292218959774
5,SPINK8,-0.027052803,0.53780913,0.9784176190222966,0.9972292218959774
5,SPRR2A,-0.027052803,0.5005802,0.9784176190222966,0.9972292218959774
5,MS4A6E,-0.027052803,0.40383703,0.9784176190222966,0.9972292218959774
5,MGC39584,-0.027052803,0.46959743,0.9784176190222966,0.9972292218959774
5,DSC3,-0.02778459,0.3739785,0.9778339571603203,0.9972292218959774
5,RP11-680N20.1,-0.029307203,0.41187707,0.9766195823384423,0.9972292218959774
