names,scores,logfoldchanges,pvals,pvals_adj
USP15,-3.0007613,-0.5397544,0.002693055930477834,0.48638801997612835
RPL19,3.0022006,0.0567527,0.002680354137372563,0.48638801997612835
GPX1,-2.99259,-0.3564267,0.002766211313850766,0.49381871129309396
PDLIM1,-2.9874525,-0.39698032,0.002813130750185735,0.4991875248563118
CNN2,-2.984308,-0.46338058,0.0028422060616637565,0.5013448478056176
SERBP1,-2.9720178,-0.39218444,0.0029584964133109134,0.5187697201896782
BANK1,-2.965906,-0.36118677,0.0030179291613217953,0.526078310391824
CD19,-2.962429,-0.41281828,0.003052220906513739,0.5289445283253108
B2M,-2.9564943,-0.09835401,0.003111579134681736,0.53609613998348
RTF1,-2.948921,-0.6300501,0.0031888554265599206,0.5462343451484202
CCNL1,-2.9425433,-0.39242363,0.003255282445069886,0.5544082757310402
PRPF38B,-2.929766,-0.38604993,0.00339217432421707,0.5744211081362779
LY86,-2.923499,-0.34740672,0.003461213198831533,0.5808509071448363
LDHB,-2.9227684,-0.35453975,0.0034693463779657163,0.5808509071448363
RPL18,2.9208417,0.066471756,0.003490871838435608,0.5811713261809034
CASP4,-2.907422,-0.44913316,0.003644211146754339,0.6033103526420005
IGHG1,-2.9029045,-0.34231722,0.0036971924224807173,0.6086811124877421
OCIAD1,-2.8986306,-0.5434821,0.0037479605430721643,0.6135852244014994
TMEM243,-2.8969257,-0.34828222,0.003768391403154245,0.6135852244014994
IDS,-2.8872926,-0.40607226,0.0038857255862186604,0.6258130001195858
HMGN1,-2.8882227,-0.3412609,0.0038742537298204448,0.6258130001195858
LTB,-2.8789885,-0.33155558,0.003989528747804062,0.6287494364060394
CD164,-2.8769512,-0.41631362,0.004015376763979844,0.6287494364060394
GRN,-2.8747146,-0.54657936,0.00404392838854316,0.6287494364060394
RNF213,-2.8807158,-0.5775333,0.003967732565747172,0.6287494364060394
CD40,-2.870463,-0.42781192,0.004098713423879507,0.6287494364060394
TCF4,-2.8674955,-0.41703823,0.004137346969669221,0.6287494364060394
PTPN6,-2.8759546,-0.37829992,0.004028075103670006,0.6287494364060394
EVI2B,-2.8731644,-0.35068247,0.004063824632359509,0.6287494364060394
DDX21,-2.8735852,-0.455222,0.0040584154565388815,0.6287494364060394
IRF8,-2.870352,-0.35767052,0.004100149073691095,0.6287494364060394
LSM10,-2.8687134,-0.4822528,0.0041214501148533625,0.6287494364060394
SYF2,-2.8639746,-0.3647951,0.00418361673083545,0.6325372357223353
SRSF11,-2.8612065,-0.44319764,0.004220321370734051,0.6348477335042277
TYMP,-2.8590362,-0.46985468,0.004249301808604459,0.6354007951462485
TCF25,-2.8561354,-0.40585068,0.004288322839618333,0.6354007951462485
RPL10,2.8568883,0.06629497,0.0042781641433495025,0.6354007951462485
EIF3D,-2.8460596,-0.3452048,0.004426391135035909,0.6525953974908165
MX1,-2.8416972,-0.60458356,0.004487410213832283,0.6583164073104252
SRSF6,-2.8329942,-0.78478324,0.004611420657158147,0.6685973784574589
CNBP,-2.832042,-0.33047897,0.004625175898757477,0.6685973784574589
LDHA,-2.8324406,-0.4578809,0.004619413375734499,0.6685973784574589
HERPUD1,-2.8261738,-0.33128402,0.004710769733467511,0.6776648071921175
MBD4,-2.8131084,-0.4643364,0.004906508922595066,0.6793101427773566
SLC25A3,-2.811669,-0.34780914,0.004928517267231277,0.6793101427773566
SEC11A,-2.8153894,-0.46572462,0.004871816158560261,0.6793101427773566
UBE2D2,-2.811824,-0.35114452,0.004926142855158596,0.6793101427773566
SP110,-2.821147,-0.41692045,0.004785227168689188,0.6793101427773566
GRB2,-2.8165631,-0.3928737,0.004854051153940757,0.6793101427773566
CMTM6,-2.8200397,-0.36221382,0.004801769938510409,0.6793101427773566
GGA2,-2.8176482,-0.5433309,0.004837679066548161,0.6793101427773566
SRSF7,-2.812112,-0.3496998,0.00492173597755991,0.6793101427773566
SEPT9,-2.806443,-0.36141723,0.005009177115207382,0.6793635387113903
MRPL20,-2.7978508,-0.4541257,0.005144384777945227,0.6793635387113903
PARP1,-2.8035865,-0.35835135,0.005053769374531373,0.6793635387113903
GTF3A,-2.8017483,-0.35415432,0.005082649932457328,0.6793635387113903
IGHA1,-2.7969873,-0.34287322,0.00515815604407312,0.6793635387113903
PDE4B,-2.8062437,-0.47044674,0.005012276619857015,0.6793635387113903
DDX3X,-2.7985816,-0.5445706,0.005132758130201251,0.6793635387113903
ARHGAP24,-2.7999103,-0.40282306,0.005111679597335313,0.6793635387113903
VDAC1,-2.7999325,-0.67059666,0.005111328952279424,0.6793635387113903
RAN,-2.809654,-0.34866127,0.004959478961253439,0.6793635387113903
ACP5,-2.783612,-0.50671357,0.00537572981451833,0.702116825079949
UBE2L6,-2.783457,-0.5537645,0.005378299227007776,0.702116825079949
CXCR4,-2.7803566,-0.3417159,0.00542992089236368,0.7057468233522162
RBX1,-2.761844,-0.3585918,0.0057475945733892345,0.7437738759293301
